,flushes,l0compactions,other_compactions,read,write,qps
362,0.0,0.0,2.0,548.1,541.76,372593.0
363,1.0,0.0,1.0,288.16,538.48,394806.0
364,1.0,0.0,2.0,591.54,837.96,358862.0
365,0.0,0.0,1.0,303.38,299.48,388591.0
366,1.0,0.0,1.0,288.53,528.15,377405.0
367,0.0,0.0,2.0,546.04,539.39,351579.0
368,1.0,0.0,1.0,257.51,418.65,375249.0
369,1.0,0.0,1.0,257.51,418.65,367549.0
370,0.0,1.0,1.0,531.9200000000001,525.89,379787.0
371,1.0,1.0,0.0,274.41,482.13,358135.0
372,1.0,1.0,0.0,274.41,482.13,359600.0
373,0.0,1.0,0.0,274.41,271.37,376133.0
374,1.0,1.0,1.0,537.96,701.22,388313.0
375,0.0,0.0,2.0,501.37,494.89,351654.0
376,1.0,0.0,1.0,237.82,380.44,416287.0
377,1.0,0.0,2.0,527.81,664.74,362907.0
378,0.0,0.0,1.0,289.99,284.3,381299.0
379,1.0,0.0,2.0,572.44,810.3800000000001,381284.0
380,1.0,0.0,1.0,282.45,526.08,356105.0
381,0.0,0.0,2.0,548.1800000000001,537.49,406976.0
382,1.0,0.0,1.0,265.73,447.78,370411.0
383,0.0,0.0,1.0,265.73,260.7,373513.0
384,1.0,1.0,1.0,538.87,803.8,392212.0
385,1.0,1.0,0.0,273.14,543.0999999999999,356260.0
386,0.0,1.0,0.0,273.14,270.53,361913.0
387,1.0,1.0,0.0,273.14,471.42999999999995,374452.0
388,0.0,0.0,1.0,316.26,311.63,348455.0
389,0.0,0.0,2.0,602.23,591.46,409542.0
390,1.0,0.0,1.0,285.97,450.91999999999996,364304.0
391,0.0,0.0,2.0,593.36,582.5799999999999,377311.0
392,1.0,0.0,1.0,307.39,488.51,386649.0
